principal component 1,principal component 2,Breathing Type
2.0568346923110488,-0.17164376508461404,30bpm
2.004967169366168,-0.13873188595080221,30bpm
1.9240017785528958,-0.10060526404420327,30bpm
1.9674643659991355,-0.12496205504559756,30bpm
2.11831915515769,-0.20015084468921704,30bpm
2.256025414231292,-0.2800246835829373,30bpm
2.423737406215057,-0.36703759891924115,30bpm
2.5637173919333773,-0.4487750572758973,30bpm
2.7029361757007013,-0.5259190370126515,30bpm
2.7367085205706063,-0.5457254298273219,30bpm
2.7554582379320034,-0.5539973605515112,30bpm
2.7902310676485236,-0.5738994386779246,30bpm
2.84218830090142,-0.6017259078063916,30bpm
2.753001930734299,-0.5514130985294128,30bpm
2.718986421205973,-0.5322123370157845,30bpm
2.466813801227127,-0.39490770438982303,30bpm
2.319760142881461,-0.31166823142372097,30bpm
2.2261866410129203,-0.26532282339855084,30bpm
2.252344619265807,-0.2765407089319553,30bpm
2.0626903211199097,-0.17797876751747793,30bpm
1.9529596846405264,-0.11804842700002512,30bpm
1.8517384599624613,-0.07226613102754523,30bpm
1.7666379089235462,-0.02786649583748437,30bpm
1.8291470882758594,-0.06079437989330419,30bpm
1.7828879495842214,-0.03738582813767587,30bpm
1.9537072100939858,-0.12555760881349018,30bpm
1.9437478786002222,-0.12104988555921825,30bpm
1.9823689934289912,-0.14014877193839229,30bpm
1.9179084076815769,-0.10850476012113638,30bpm
2.06011771536053,-0.1750842601093136,30bpm
2.063121781427973,-0.1770426352156329,30bpm
2.0694097445498043,-0.17899973379056755,30bpm
2.111483296463145,-0.20185850890357565,30bpm
2.0343027959016107,-0.15748924410588933,30bpm
2.0315296575918147,-0.16426653737686847,30bpm
2.146896307146824,-0.2237059182124916,30bpm
2.281125811285765,-0.2925189615895112,30bpm
2.182938927018538,-0.2387641945305435,30bpm
2.238312909779269,-0.26593669578219725,30bpm
2.1306614909823525,-0.21513049017925687,30bpm
2.135227884977226,-0.2173005192097222,30bpm
2.2069467118963275,-0.2557776371746159,30bpm
2.236898056226049,-0.26228729288762564,30bpm
2.1877986171038772,-0.2354303378651738,30bpm
2.1615794249033713,-0.22338646940776682,30bpm
2.1189267547705177,-0.20393194486375688,30bpm
2.111616841123852,-0.20100626563436857,30bpm
2.1573241204322007,-0.22163599530819633,30bpm
2.0932615890659525,-0.19218884661304558,30bpm
2.0055542052421544,-0.1457328072651969,30bpm
1.9599935277477585,-0.12327972307754102,30bpm
1.8520513629973743,-0.0704408743942032,30bpm
1.8025357844480425,-0.04090900444789169,30bpm
1.8059563328139812,-0.04742569320399407,30bpm
1.8200437660161064,-0.056649431884975406,30bpm
1.8265727410366037,-0.058020401743882746,30bpm
-2.281740996363436,-0.3540353287901641,30bpm
-2.3434860292860327,-0.3818433581449109,30bpm
-2.3855720383548964,-0.4006774310813572,30bpm
-2.430288131858859,-0.42075625967648417,30bpm
-2.423934806381007,-0.4178054765360498,30bpm
-2.3787451133816058,-0.39755220230133703,30bpm
-2.327256272781745,-0.37447108174643223,30bpm
-2.2619574645471268,-0.34530444305223373,30bpm
-2.177031762399992,-0.30756326000140816,30bpm
-2.0989036080322654,-0.27265311064191444,30bpm
-2.044761988421993,-0.24858905762741187,30bpm
-1.9692625549124723,-0.21493622900475495,30bpm
-1.939818397838274,-0.20200333514533828,30bpm
-1.9258251923204739,-0.1956695521952266,30bpm
-1.916395307498168,-0.19137726305816707,30bpm
-1.8906333125070793,-0.17981156093832731,30bpm
-1.874071745612998,-0.17258922580479633,30bpm
-1.8451756991850687,-0.15965189624171686,30bpm
-1.803030701325344,-0.14075154640249915,30bpm
-1.7908185144350526,-0.13608379456961545,30bpm
-1.7620080193492915,-0.12283558997893416,30bpm
-1.7225713468149262,-0.10526666061406324,30bpm
-1.6714360154316596,-0.08271523124458016,30bpm
-1.6622057527627345,-0.07849306087831391,30bpm
-1.6663350533854813,-0.08021235550181101,30bpm
-1.6691583976596134,-0.08152104165845223,30bpm
-1.6556702160485994,-0.07558918257493027,30bpm
-1.5800612749382632,-0.040995785276549235,30bpm
-1.5242339985042792,-0.01624888872053715,30bpm
-0.1603346254078978,0.5733201568570402,30bpm
-0.11759083911992682,0.589822627390616,30bpm
-0.09606614921789294,0.5973042322358572,30bpm
-0.08968121156262922,0.5975117572699387,30bpm
-0.07443311213332304,0.6002148283366658,30bpm
-0.04127580986045098,0.6099545090129753,30bpm
-0.04141094003283912,0.6100063486458615,30bpm
-0.07888841491533304,0.5968433662949205,30bpm
-0.16302263506873685,0.5675853166285773,30bpm
-0.20912773185736858,0.5497066635500292,30bpm
-0.22940818028365254,0.5410288433492736,30bpm
-0.2512573642727362,0.5336073309972563,30bpm
-0.2389996057959868,0.5326131679279156,30bpm
-0.25643469079582587,0.52256429276038,30bpm
-0.20670047600557043,0.5366789294254373,30bpm
-0.1470681651314317,0.5530900420495373,30bpm
-0.05579392301644461,0.5816563331118665,30bpm
0.013396927297207123,0.5956751349615231,30bpm
0.054594602202014585,0.6024861110308048,30bpm
0.07989870146678345,0.6083914891737443,30bpm
0.0864737533150895,0.6108892179041651,30bpm
0.11620559341581595,0.6230418232645539,30bpm
0.08686472280415147,0.6152464037968033,30bpm
0.037255711610162986,0.6021949701962979,30bpm
-0.016949119866006872,0.5897423098232234,30bpm
-0.07476106465023864,0.5811398348962022,30bpm
-0.1444243929716529,0.5647451098166218,30bpm
-0.19563921826936634,0.5519820246779735,30bpm
-0.2412453667329166,0.5433678382297933,30bpm
-0.6730746410001814,-0.21458326087485574,3bpm
-0.45007293950741173,-0.1921640320589138,3bpm
-0.31714786177968235,-0.1999049863216804,3bpm
-0.5196813304802586,-0.21958809937599819,3bpm
-0.4463225021445609,-0.22305434767426882,3bpm
-0.18720284716816296,-0.2184790195992466,3bpm
-0.29374623718147225,-0.22555537047568078,3bpm
-0.43636523140748124,-0.24384000622033325,3bpm
-0.1969701001410477,-0.2371583320772923,3bpm
-0.1090138834448787,-0.241997837045319,3bpm
-0.31897048973719305,-0.25934004558276186,3bpm
-0.15244884399031336,-0.24780608881589722,3bpm
0.003967083953977726,-0.24013838844511332,3bpm
-0.2020083879128189,-0.25960517770168684,3bpm
-0.037065371029772885,-0.25834738189994927,3bpm
-0.21652382880708856,-0.28821721481772583,3bpm
-0.08279027883055019,-0.27514567623789826,3bpm
0.06412639152049539,-0.28160148786936756,3bpm
-0.14953273871046358,-0.29164977367487643,3bpm
0.10284766364914638,-0.31271547991729143,3bpm
-0.252722808596108,-0.3146953398826991,3bpm
-0.025710556694766063,-0.3084515445203854,3bpm
0.0400090999524457,-0.302351110693263,3bpm
-0.20881531137918738,-0.3023025492685008,3bpm
0.10059724546362626,-0.3321590079687528,3bpm
-0.1138011899493817,-0.3276854210249396,3bpm
-0.06721877423607485,-0.3363774693820199,3bpm
-0.07996433157570004,-0.3404650451101502,3bpm
-0.2785326631447032,-0.3608734882620898,3bpm
0.08962164601273295,-0.3904780549651258,3bpm
-0.13012091598832692,-0.39867967165989443,3bpm
-0.1512209171947091,-0.4042375453078928,3bpm
0.03589953360029514,-0.40010512568971585,3bpm
-0.1959481539648098,-0.41265605848339626,3bpm
-1.2082452224127136,0.06226917601929438,3bpm
-1.2790474864342194,0.031974077778706554,3bpm
-1.1048476069796407,0.09247672002180236,3bpm
-1.146657561893794,0.0754848075900378,3bpm
-1.2378768732336396,0.04216843958660344,3bpm
-1.1295403983219403,0.07953349308816127,3bpm
-1.2081920723922508,0.057879390886293784,3bpm
-1.533966819093822,-0.03765681437300897,3bpm
-1.3731528596441318,0.02240523517041446,3bpm
-0.21437572295577406,0.14108814906405734,3bpm
-0.07905581768525156,0.16587609688014124,3bpm
-0.026809871627853053,0.1458712374955791,3bpm
-0.04054565751774248,0.14173542682717455,3bpm
0.12912655085085464,0.17099459232847186,3bpm
0.06890321471521121,0.46109881552282106,3bpm
0.232929814325118,0.5456687537473597,3bpm
0.28952117820748996,0.4793887005629896,3bpm
0.4481422493117087,0.4588434402837482,3bpm
0.7633517107856238,0.3108492750166191,3bpm
1.0272828211257896,0.19582842869378453,3bpm
1.2196513280685315,0.14291279473131815,3bpm
1.211791963912483,0.15571867360436153,3bpm
1.3060790122360681,0.18348177734485444,3bpm
1.230072919814253,0.237150340362688,3bpm
1.1017976500132511,0.30210700159039744,40bpm
1.2199460149166108,0.24726084553290603,40bpm
1.279181607849249,0.2214602244017395,40bpm
1.4016236999565646,0.1699622878548055,40bpm
1.5828108948801582,0.08751707343075335,40bpm
1.653768566399535,0.06716564698978765,40bpm
1.6405841054593309,0.0735684196881672,40bpm
1.7256628494959119,0.03594784131815459,40bpm
1.7125673765314309,0.04187342578159143,40bpm
1.5950936927406454,0.09765216442480414,40bpm
1.6301311154259541,0.07971705518465363,40bpm
1.5455094877103102,0.11758687299114838,40bpm
1.4378248450135112,0.17034812491419962,40bpm
1.429150727588827,0.1746213173073579,40bpm
1.4598533812683672,0.1609807364187012,40bpm
1.3907084011563262,0.19279959099484303,40bpm
1.4022950460623707,0.1872333363416118,40bpm
1.4472541163680401,0.16683938315201688,40bpm
1.404956005206347,0.18823185923133356,40bpm
1.5328942549324047,0.1292741256990384,40bpm
1.6201910955822545,0.08586525914429112,40bpm
1.7460169994769295,0.023489829895813604,40bpm
1.818211816532441,-0.012730125262538642,40bpm
2.0126599079549514,-0.11165463159067672,40bpm
2.14380255284418,-0.17730706018451153,40bpm
2.2378874634971875,-0.22555047158928412,40bpm
2.3918647155126216,-0.3038876287407241,40bpm
2.381527305392368,-0.29931806800839017,40bpm
2.3685852611642795,-0.2905993230967997,40bpm
2.1534055645007113,-0.21487192157076118,40bpm
2.2224779631617757,-0.25391234297252047,40bpm
2.1318886067934795,-0.2038611473441973,40bpm
-1.3662267547272,0.05376151870666807,40bpm
-1.4643134407034073,0.010041882765065738,40bpm
-1.571656858999094,-0.03789850121323956,40bpm
-1.648148694051912,-0.07195563749431037,40bpm
-1.7042115824200073,-0.09689403870847622,40bpm
-1.7489407202035405,-0.1170342637139028,40bpm
-1.7690825518714337,-0.12589117183806808,40bpm
-1.8139162707842211,-0.1458593830382847,40bpm
-1.824045246618766,-0.15023747911461346,40bpm
-1.8386481820893306,-0.15672684905622467,40bpm
-1.839760261543117,-0.15717560108110304,40bpm
-1.8483919697541642,-0.16101736123680677,40bpm
-1.8728544501794993,-0.1718476929038912,40bpm
-1.9053251371963071,-0.18615736987581213,40bpm
-1.949822634428515,-0.20615564280208043,40bpm
-1.9820252834312746,-0.22070453326234096,40bpm
-2.023002809509846,-0.23912665088372792,40bpm
-2.0494752687270115,-0.2510440344986805,40bpm
-2.0584286556258804,-0.2550787116609442,40bpm
-2.0687256443537705,-0.2598304115657081,40bpm
-2.058069987987363,-0.25539179379634147,40bpm
-2.0361072900886055,-0.24577725011929125,40bpm
-2.0037094196584766,-0.23126139753081817,40bpm
-1.9587146581936674,-0.2110929572745832,40bpm
-1.9073855865506972,-0.1882196535803583,40bpm
-1.878478702958884,-0.17538324175490166,40bpm
-1.8589081191495458,-0.16687842934207847,40bpm
-1.8341410520126975,-0.15603971964575045,40bpm
-1.8322416134447626,-0.15511350483309064,40bpm
-1.5685428524995348,-0.03574781059125625,40bpm
-1.5484638627703329,-0.026906060815429966,40bpm
-1.5338385246918644,-0.020418395214421348,40bpm
-1.5324680125967816,-0.020077799627246932,40bpm
-1.5398402716175719,-0.023615136128314864,40bpm
-1.5287309580246307,-0.018698575082780153,40bpm
-1.525830947979627,-0.017500176041857746,40bpm
-1.5119116431454898,-0.011193360810153031,40bpm
-1.493557807202558,-0.0029718947612117482,40bpm
-1.4929034549874887,-0.002396322229153503,40bpm
-1.5025380855220836,-0.006606519700105966,40bpm
-1.470878144923495,0.0078193498038105,40bpm
-1.4228531691448172,0.029528305511475693,40bpm
-1.3695901513745654,0.053288018484816235,40bpm
-1.3333959441686485,0.06947490805450758,40bpm
-1.3145267348559833,0.0778750943248387,40bpm
-1.2959375924489893,0.08633522609542403,40bpm
-1.2676816153303847,0.0981360294262361,40bpm
-1.2373312178451812,0.11162662326366063,40bpm
-1.2371587328769278,0.11155393744690675,40bpm
-1.2523981841496086,0.10454466646634335,40bpm
-1.2841695672275784,0.09032129576512592,40bpm
-1.2946891914362608,0.08564230216187259,40bpm
-1.2898113874820407,0.08782928399431848,40bpm
-1.277511921593878,0.09322944157888598,40bpm
-1.2622785796848466,0.10062792359557418,40bpm
-1.2542061855742261,0.10429715770332106,40bpm
-1.2425993398081956,0.10962415235688557,40bpm
-1.2455007926210586,0.10851789075443558,40bpm
-0.5792095612745967,0.018029292051216356,40bpm
-0.5669327460273527,0.028108465728563126,40bpm
-0.47464410052370415,0.021532810852651144,40bpm
-0.5235768174695427,0.013436513440831738,40bpm
-0.5066451106882123,0.0003724653865428281,40bpm
-0.5490497199123204,-0.006679389194512594,40bpm
-0.5076034386619844,-0.0058253409110411965,40bpm
-0.5418861851592933,-0.012102241469644151,40bpm
-0.44501029676938153,-0.039398787760644864,40bpm
-0.459928442369652,-0.050662940643079,40bpm
-0.3313051143073641,-0.08084951103307103,40bpm
-0.28173746293488344,-0.07117319425812606,40bpm
-0.3529790995678424,-0.0929793342049777,40bpm
-0.27063554425289144,-0.08586804871649156,40bpm
-0.34556508877601333,-0.10602760657629683,40bpm
-0.24955301613796105,-0.07323662098040135,40bpm
-0.1775052541085344,-0.08449217760394205,40bpm
-0.1454883655255903,-0.07083737015665817,40bpm
-0.10925195244097481,-0.08871829398057966,40bpm
-0.09074149950917197,-0.08169566064981104,40bpm
-0.0008330920990276829,-0.08242468528605315,40bpm
-0.02737545502088896,-0.08263425979707732,5bpm
0.07340374976935526,-0.12171598793820042,5bpm
0.10061366653322797,-0.1154835231483971,5bpm
0.024004840691084006,-0.10019003121771959,5bpm
0.07683782139866126,-0.08029904174739781,5bpm
0.027616317407386102,-0.06749311284602288,5bpm
0.03071437140335372,-0.05194365079550794,5bpm
0.20299178641801296,-0.0721738311129436,5bpm
0.14452907104877225,-0.06812073749197597,5bpm
0.29649425532908597,-0.08577381694383598,5bpm
0.2249496034179905,-0.1076267212255951,5bpm
0.2154600251719253,-0.12014213764204174,5bpm
0.230535653891734,-0.1194883247293646,5bpm
0.20492244850411806,-0.11280620287070812,5bpm
0.257181632648666,-0.1131159995437561,5bpm
0.3270115330806437,-0.14548386739861927,5bpm
0.3232766929866078,-0.14706938269204378,5bpm
0.29272529591410695,-0.12956171637769423,5bpm
0.2711025862399441,-0.13280461777051128,5bpm
0.30036190975737376,-0.12971830919479238,5bpm
0.2968049818470334,-0.1344798167551925,5bpm
0.28382329045083377,-0.1486574222724447,5bpm
0.294024830593169,-0.1646669738389149,5bpm
0.14901061054516768,-0.1397820071969742,5bpm
0.1660940964391969,-0.13601231197860347,5bpm
0.02867953676605461,-0.12615599182370574,5bpm
1.0385991891585897,0.2768808641538537,5bpm
0.9742528876089231,0.3035975547995117,5bpm
0.9914529487360845,0.2959928083038729,5bpm
0.9383875341798832,0.3145798439521374,5bpm
0.9289313847767247,0.32011300323726155,5bpm
0.9445814800074512,0.3133198850536208,5bpm
0.8688619817461362,0.34170068565312833,5bpm
0.8942043556660675,0.3325627833418383,5bpm
0.8131549253550756,0.3514886546320311,5bpm
0.7990209356792516,0.35869987988733554,5bpm
0.7809797339888841,0.3556259136404383,5bpm
0.7406064340753366,0.3710908814329209,5bpm
0.7598723735868234,0.3673955436244521,5bpm
-1.4819521318837836,0.0025055214060874633,5bpm
-1.5603342390171566,-0.03228206837302893,5bpm
-1.5677282329210427,-0.03555345991544651,5bpm
-1.5936679024067573,-0.04714841892392704,5bpm
-1.639162569615579,-0.0675541054602341,5bpm
-1.6445567562835102,-0.06991796354841151,5bpm
-1.6340203346856512,-0.065317746882407,5bpm
-1.648209961489815,-0.07182760327542373,5bpm
-1.64858870772333,-0.07192938831684911,5bpm
-1.6563178409424528,-0.07537377619237816,5bpm
-1.6574016822747184,-0.07590221163903764,5bpm
-1.6328330965425881,-0.06494574438325953,5bpm
-1.6317080060710865,-0.06447185710695329,5bpm
-1.6091287124633562,-0.05441721715254352,5bpm
-1.6007278748845926,-0.05069192881772449,5bpm
-1.6011792090930028,-0.050852654292588916,5bpm
-1.571972351901833,-0.037833604950758416,5bpm
-1.5818441161642942,-0.04226897783019915,5bpm
0.41455154822962786,0.3362247166399323,5bpm
0.45628361340704104,0.34309966647798856,5bpm
0.33590654499838757,0.3424733552350625,5bpm
0.38452722988454646,0.33833333728724563,5bpm
0.3437078230885171,0.3524169372037091,5bpm
0.29377087680186603,0.3360298482239593,5bpm
0.3205320589798062,0.32319002750199416,5bpm
0.33042843792536475,0.3132495804912484,5bpm
0.2971242560387075,0.3153368316662852,5bpm
0.336049784645089,0.30659314253434033,5bpm
0.3115317911898976,0.3134094605937411,5bpm
0.2455803912724189,0.33495392742697483,5bpm
0.3044931922884503,0.3421357858803659,5bpm
0.17217525776307696,0.34568626796787416,5bpm
0.2102841035245032,0.35435512722308227,5bpm
0.1995084467498525,0.3625567767764723,5bpm
0.0861110648522701,0.34936063957339475,5bpm
0.1435553687812045,0.35806610453547877,5bpm
0.06936681440044382,0.35734992055344283,5bpm
-0.018953139357908242,0.3351377518143262,5bpm
